stopId,code,stop_name,type,zone,ward,address,street,support_disability,status,lng,lat,search,routes
1795,QBT 092,Công an Quận Bình Tân,Trụ dừng,Quận Bình Tân,,1054 (Quán ăn Xa lộ),Quốc lộ 1A,,Đang khai thác,106.602081,10.736204,CaQBT 1054(aXl Ql1A,"15, 151, 60-1"
1797,QBT 043,Siêu thị Big C,Trụ dừng,Quận Bình Tân,Phường An Lạc,Siêu thị Big C,Hồ Học Lãm,,Đang khai thác,106.605358,10.731063,StBC StBC HHL,"15, 151"
1796,QBT 044,Ngã tư An Lạc,Trụ dừng,Quận Bình Tân,Phường An Lạc,551,Hồ Học Lãm,,Đang khai thác,106.606819,10.728676,NtAL 551 HHL,"15, 151"
1799,QBT 045,Chợ Khu phố 2,Trụ dừng,Quận Bình Tân,Phường An Lạc,40A (Hoàng Long),Hồ Học Lãm,,Đang khai thác,106.608459,10.726019,CKp2 40A(L HHL,"15, 39"
1850,QBT 038,Chùa Sùng Quang,Trụ dừng,Quận Bình Tân,Phường An Lạc,403,Hồ Học Lãm,,Đang khai thác,106.610577,10.72283,CSQ 403 HHL,"15, 39"
8116,Q8 158,Đình Phong Phú,Ô sơn,Quận 8,Phường 16,đối diện THCS Bình Đông,Trương Đình Hội,Có,Đang khai thác,106.625956,10.716793,DPP ddTBD TDH,15
7584,Q8 146,Trường Nguyễn Thị Định,Ô sơn,Quận 8,Phường 16,Trường THPT Nguyễn Thị Định,Phạm Đức Sơn,Có,Đang khai thác,106.622797,10.724538,TNTD TTNTD PDS,15
1907,Q10 025,Đài tưởng niệm,Trụ dừng,Quận 10,,105,Ngô Gia Tự,,Đang khai thác,106.672826,10.765404,Dtn 105 NGT,150
3715,Q9 057,Nghĩa trang liệt sĩ Tp.HCM,Nhà chờ,TP. Thủ Đức - KV2,Phường Tân Phú,14-18,D400,,Đang khai thác,106.809028,10.871371,NtlsT 14-18 D,"150, 61-05, 61-77, 61-9, 67, 76, 93"
3716,Q9 058,Ngã ba Lâm Viên 1,Trụ dừng,TP. Thủ Đức - KV2,Phường Tân Phú,124,D400,,Đang khai thác,106.812891,10.87037,NbLV1 124 D,"150, 61-05, 61-77, 61-9, 67, 76, 93"
3717,Q9 266,Đường Hoàng Hữu Nam,Ô sơn,TP. Thủ Đức - KV2,,kế 474,Hoàng Hữu Nam,,Đang khai thác,106.814522,10.87185,DHHN k474 HHN,"150, 61-05, 61-77, 61-9, 67, 76, 93"
7695,BX 33,Bến xe Miền Đông mới,Bến xe,TP. Thủ Đức - KV2,Phường Long Bình,Bến xe Miền Đông mới,Quốc lộ 1,Có,Đang khai thác,106.81497,10.878606,BxMDm BxMDm Ql1,"150, 56, 60-7, 61-05, 61-77, 61-9, 67, 76, 93"
3742,Q9 267,Đường Hoàng Hữu Nam,Trụ dừng,TP. Thủ Đức - KV2,Phường Long Bình,373,Hoàng Hữu Nam,,Đang khai thác,106.814125,10.871176,DHHN 373 HHN,"150, 56, 61-05, 61-77, 61-9, 67, 76, 93"
3745,Q9 059,Ngã ba Lâm Viên 1,Trụ dừng,TP. Thủ Đức - KV2,Phường Tân Phú,Đối diện 100,D400,,Đang khai thác,106.812386,10.870689,NbLV1 Dd100 D,"150, 56, 61-05, 61-77, 61-9, 76, 93"
3744,Q9 060,Nghĩa trang liệt sĩ Tp.HCM,Nhà chờ,TP. Thủ Đức - KV2,Phường Tân Phú,Đối diện 28,D400,,Đang khai thác,106.809345,10.871408,NtlsT Dd28 D,"150, 56, 61-05, 61-77, 61-9, 67, 76, 93"
1877,Q1 087,Nguyễn Văn Thủ,Biển treo,Quận 1,,75,Nguyễn Bỉnh Khiêm,,Đang khai thác,106.700569,10.791216,NVT 75 NBK,"150, 45, 93"
1879,Q1 114,UBND Phường Dakao,Nhà chờ,Quận 1,,52 -54,Nguyễn Đình Chiểu,,Đang khai thác,106.699738,10.78885,UPD 52-54 NDC,"150, 93"
1876,Q1 115,Mạc Đỉnh Chi,Nhà chờ,Quận 1,,102,Nguyễn Đình Chiểu,,Đang khai thác,106.697861,10.786848,MDC 102 NDC,"150, 93"
1878,Q1 116,Hai Bà Trưng,Trụ dừng,Quận 1,,116 - 118,Nguyễn Đình Chiểu,,Đang khai thác,106.696457,10.785293,HBT 116-118 NDC,"150, 93"
1881,Q3 058,Đại học Kinh tế,Trụ dừng,Quận 3,,138B,Nguyễn Đình Chiểu,,Đang khai thác,106.694191,10.782981,DhKt 138B NDC,"150, 31, 93"
1880,Q3 059,Coop Mart Nguyễn Đình Chiểu,Trụ dừng,Quận 3,,170,Nguyễn Đình Chiểu,,Đang khai thác,106.6922,10.780828,CMNDC 170 NDC,150
1883,Q3 060,Trương Định,Nhà chờ,Quận 3,,216,Nguyễn Đình Chiểu,,Đang khai thác,106.689789,10.77824,TD 216 NDC,"150, 28"
1882,Q3 061,Cách mạng Tháng Tám,Trụ dừng,Quận 3,,310,Nguyễn Đình Chiểu,,Đang khai thác,106.686394,10.77465,CmTT 310 NDC,"150, 69"
1889,Q3 062,Chợ Vườn Chuối,Trụ dừng,Quận 3,Phường 04,448 - 450,Nguyễn Đình Chiểu,,Đang khai thác,106.684086,10.772213,CVC 448-450 NDC,"150, 69"
1884,Q3 063,Cao thắng,Trụ dừng,Quận 3,,596A - 598,Nguyễn Đình Chiểu,,Đang khai thác,106.681672,10.769731,Ct 596A-598 NDC,"150, 69"
1890,Q3 064,Chợ Bàn Cờ,Biển treo,Quận 3,,678 - 680,Nguyễn Đình Chiểu,,Đang khai thác,106.680359,10.768289,CBC 678-680 NDC,"150, 69"
1885,Q3 065,Lý Thái Tổ,Trụ dừng,Quận 3,,766 - 768,Nguyễn Đình Chiểu,,Đang khai thác,106.67926,10.76709,LTT 766-768 NDC,"150, 69"
1891,Q10 026,Đài tưởng niệm,Trụ dừng,Quận 10,,66,Ngô Gia Tự,,Đang khai thác,106.67347,10.766427,Dtn 66 NGT,150
388,Q10 027,Hòa Hảo,Trụ dừng,Quận 10,,222,Ngô Gia Tự,,Đang khai thác,106.671168,10.763286,HH 222 NGT,150
390,Q10 028,Trường Khiếm thị Nguyễn Đình Chiểu,Trụ dừng,Quận 10,,446,Ngô Gia Tự,,Đang khai thác,106.669525,10.760857,TKtNDC 446 NGT,150
1893,QBT 059,Hương lộ 2,Ô sơn,Quận Bình Tân,,1069,Quốc lộ 1A,,Đang khai thác,106.591965,10.772055,Hl2 1069 Ql1A,"151, 60-1"
1886,QBT 060,Ao Đôi,Trụ dừng,Quận Bình Tân,Phường Bình Trị Đông A,1015 (Ao Đôi),Quốc lộ 1A,,Đang khai thác,106.592667,10.77548,AD 1015(D Ql1A,"151, 60-1"
1887,QBT 061,Khu phố 1,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hoà A,853,Quốc lộ 1A,,Đang khai thác,106.593506,10.77957,Kp1 853 Ql1A,"151, 60-1"
1895,QBT 062,Sơn Expo,Nhà chờ,Quận Bình Tân,Phường Bình Hưng Hoà A,Sơn Expo,Quốc lộ 1A,,Đang khai thác,106.59404,10.781994,SE SE Ql1A,"151, 60-1"
1888,QBT 063,Tân Kỳ Tân Quý,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hoà A,813,Quốc lộ 1A,,Đang khai thác,106.595519,10.788855,TKTQ 813 Ql1A,"151, 60-1"
1898,QBT 064,Tân Kỳ Tân Quý,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hòa,741,Quốc lộ 1A,,Đang khai thác,106.59612,10.791516,TKTQ 741 Ql1A,"151, 60-1"
1892,QBT 065,Phát Đạt,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hòa,605A (601),Quốc lộ 1A,,Đang khai thác,106.597488,10.798193,PD 605A( Ql1A,"151, 60-1"
1900,QBT 066,Trạm cân số 1,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hòa,497,Quốc lộ 1A,,Đang khai thác,106.598716,10.804131,Tcs1 497 Ql1A,"151, 60-1"
1894,QBT 067,Khu phố 3 (T H P),Ô sơn,Quận Bình Tân,Phường Bình Hưng Hòa,461,Quốc lộ 1A,,Đang khai thác,106.599323,10.806871,Kp3(HP 461 Ql1A,"151, 60-1"
1902,QBT 068,Cửa hàng Thảo Vân (Thành Vịnh),Ô sơn,Quận Bình Tân,Phường Bình Hưng Hòa,383,Quốc lộ 1A,,Đang khai thác,106.600412,10.811935,ChTV(V 383 Ql1A,"151, 60-1"
1896,QBT 069,Gò Mây,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hòa,253,Quốc lộ 1A,,Đang khai thác,106.600996,10.814696,GM 253 Ql1A,"151, 60-1"
1904,QBT 070,Hội quán (Sài Gòn JSC) ,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hòa,171 (Tạp phẩm Sài Gòn),Quốc lộ 1A,,Đang khai thác,106.601593,10.817604,Hq(GJ 171(pSG Ql1A,"151, 60-1"
1897,QBT 071,Nồi Hơi,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hòa,117,Quốc lộ 1A,,Đang khai thác,106.602333,10.820871,NH 117 Ql1A,"151, 60-1"
1906,QBT 072,Quang Châu,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hòa,19-21,Quốc lộ 1A,,Đang khai thác,106.602783,10.823305,QC 19-21 Ql1A,151
1899,Q12 089,Lộc Ích,Nhà chờ,Quận 12,,168,Quốc lộ 1A,,Đang khai thác,106.603855,10.827779,LÍ 168 Ql1A,"151, 60-1"
1908,Q12 090,Ngã tư Bà Điểm,Trụ dừng,Quận 12,,2945 (19/7F),Quốc lộ 1A,,Đang khai thác,106.606559,10.833269,NtBD 2945( Ql1A,"151, 60-1"
1901,Q12 091,Qua ngã tư Bà Điểm,Trụ dừng,Quận 12,,2879,Quốc lộ 1A,,Đang khai thác,106.607616,10.834981,QntBD 2879 Ql1A,151
1910,Q12 092,Trạm Rác,Trụ dừng,Quận 12,,88/1,Quốc lộ 1A,,Đang khai thác,106.610202,10.83789,TR 88/1 Ql1A,"151, 60-1"
1903,Q12 093,Trạm măng,Trụ dừng,Quận 12,,2797,Quốc lộ 1A,,Đang khai thác,106.612304,10.839755,Tm 2797 Ql1A,"151, 60-1"
1905,Q12 094,Cầu vượt ngã tư An Sương,Trụ dừng,Quận 12,,10P,Quốc lộ 1A,,Đang khai thác,106.614311,10.841483,CvntAS 10P Ql1A,151
1116,Q12 123,Bến xe An Sương,Trụ dừng,Quận 12,,142,Quốc lộ 22,,Đang khai thác,106.613361,10.846035,BxAS 142 Ql22,"151, 27, 41, 65, 71"
3843,HHM 0160,cầu vượt An Sương,Trụ dừng,Huyện Hóc Môn,Xã Bà Điểm,45/8C,Quốc lộ 1A,,Đang khai thác,106.614225,10.841978,cvAS 45/8C Ql1A,"151, 60-1"
